band,count,mean_realized_vol,median_realized_vol,mean_realized_max_drawdown
1-20,98,11.608,11.5763,3.6596
21-40,45,11.5786,11.5974,4.9095
41-60,23,17.5606,15.0597,7.0746
61-80,62,40.0792,37.5597,15.8806
81-99,522,57.8816,54.9818,22.017
